"All Search Engines - All Keyword Groups"
"Metric","sbatinc.com"
"Visibility Score","459 (20)"
"Visibility Percent","38.25 (1.67)"
"First Place","3 (-1)"
"Top 3","5 (-)"
"Top 5","7 (1)"
"Top 10","10 (-)"
"Top 20","21 (1)"
"Top 30","24 (1)"
"Ranked","27 (1)"
"Not Ranked","13 (-1)"
"Average Rank","26.6 (-1.48)"
"Moved Up","11 (-1)"
"Moved Down","7 (-)"
"Added","2 (-)"
"Dropped","1 (-)"
"On First Page","11 (-)"
"Below First Page","29 (-)"
"Net Gain","110 (-)"
"Net Loss","51 (25)"
"Click Share","7.65 (-0.5)"
"Estimated Visits","5 (0)"
"Market Share","0.54 (0.01)"
"Estimated Daily Traffic","0 (0)"
