"All Search Engines - All Keyword Groups"
"Metric","addictioninterventions.com"
"Visibility Score","1554 (24)"
"Visibility Percent","33.86 (0.52)"
"First Place","3 (2)"
"Top 3","10 (-1)"
"Top 5","18 (-1)"
"Top 10","28 (2)"
"Top 20","75 (-2)"
"Top 30","89 (-2)"
"Ranked","109 (-2)"
"Not Ranked","44 (2)"
"Average Rank","27.89 (0.48)"
"Moved Up","53 (13)"
"Moved Down","55 (-14)"
"Added","6 (-3)"
"Dropped","8 (-2)"
"On First Page","32 (5)"
"Below First Page","121 (-5)"
"Net Gain","297 (-6)"
"Net Loss","370 (-202)"
"Click Share","3.03 (0.47)"
"Estimated Visits","835 (218)"
"Market Share","1.23 (0.33)"
"Estimated Daily Traffic","28 (7)"
