"All Search Engines - All Keyword Groups"
"Metric","addictionrecoverycenters.com"
"Visibility Score","1852 (4)"
"Visibility Percent","13.54 (0.03)"
"First Place","9 (-3)"
"Top 3","25 (3)"
"Top 5","35 (-2)"
"Top 10","40 (-6)"
"Top 20","74 (6)"
"Top 30","114 (5)"
"Ranked","192 (6)"
"Not Ranked","264 (-6)"
"Average Rank","71.75 (-1.12)"
"Moved Up","106 (4)"
"Moved Down","93 (-7)"
"Added","42 (5)"
"Dropped","36 (-5)"
"On First Page","40 (-6)"
"Below First Page","416 (6)"
"Net Gain","3065 (500)"
"Net Loss","2554 (-224)"
"Click Share","5.81 (-1.3)"
"Estimated Visits","1915 (-38)"
"Market Share","0.97 (-0.02)"
"Estimated Daily Traffic","64 (-1)"
