"All Search Engines - All Keyword Groups"
"Metric","americasrehabcampuses.com"
"Visibility Score","7050 (1)"
"Visibility Percent","43.52 (0.01)"
"First Place","28 (-1)"
"Top 3","88 (10)"
"Top 5","123 (8)"
"Top 10","181 (-1)"
"Top 20","311 (1)"
"Top 30","329 (-3)"
"Ranked","346 (1)"
"Not Ranked","194 (-1)"
"Average Rank","25.45 (0.03)"
"Moved Up","144 (3)"
"Moved Down","109 (-24)"
"Added","19 (-4)"
"Dropped","18 (-11)"
"On First Page","188 (4)"
"Below First Page","352 (-4)"
"Net Gain","920 (-289)"
"Net Loss","937 (-319)"
"Click Share","7.26 (0.19)"
"Estimated Visits","2905 (239)"
"Market Share","0.73 (0.05)"
"Estimated Daily Traffic","97 (8)"
