"All Search Engines - All Keyword Groups"
"Metric","netsuccessusa.com"
"Visibility Score","838 (70)"
"Visibility Percent","51.73 (4.32)"
"First Place","4 (-)"
"Top 3","10 (-3)"
"Top 5","16 (-1)"
"Top 10","25 (1)"
"Top 20","35 (5)"
"Top 30","35 (5)"
"Ranked","36 (3)"
"Not Ranked","18 (-3)"
"Average Rank","22.41 (-2.43)"
"Moved Up","13 (2)"
"Moved Down","13 (1)"
"Added","4 (4)"
"Dropped","1 (-3)"
"On First Page","25 (1)"
"Below First Page","29 (-1)"
"Net Gain","203 (135)"
"Net Loss","72 (-154)"
"Click Share","7.15 (-1.14)"
"Estimated Visits","74 (0)"
"Market Share","0.63 (0.01)"
"Estimated Daily Traffic","2 (0)"
