"All Search Engines - All Keyword Groups"
"Metric","northboundtreatment.com"
"Visibility Score","3714 (-419)"
"Visibility Percent","31.5 (-3.55)"
"First Place","9 (-4)"
"Top 3","40 (-1)"
"Top 5","67 (-)"
"Top 10","93 (-14)"
"Top 20","162 (-18)"
"Top 30","194 (-15)"
"Ranked","237 (-13)"
"Not Ranked","156 (13)"
"Average Rank","30.4 (1.73)"
"Moved Up","94 (-18)"
"Moved Down","125 (9)"
"Added","14 (-18)"
"Dropped","27 (9)"
"On First Page","94 (-15)"
"Below First Page","299 (15)"
"Net Gain","702 (-775)"
"Net Loss","1380 (517)"
"Click Share","4.92 (-0.01)"
"Estimated Visits","1359 (-380)"
"Market Share","1.69 (-0.72)"
"Estimated Daily Traffic","45 (-13)"
